PClass;Name;Sex;Age;Survived
second;Oxenham, Mr Percy Thomas;male;22.0;true
second;Smith (Schmidt), Mr Augustus;male;22.0;false
second;Troupiansky, Mr Moses Aaron;male;22.0;false
second;Waelens, Mr Achille;male;22.0;false
third;Barton, Mr David;male;22.0;false
third;Berglund, Mr Karl Ivar Sven;male;22.0;false
third;Braund, Mr Owen Harris;male;22.0;false
third;Brobek, Mr Karl Rudolf;male;22.0;false
third;Connolly, Miss Kate;female;22.0;true
third;Dahlberg, Miss Gerda Ulrika;female;22.0;false
third;Davies, Mr Evan;male;22.0;false
third;Dyker, Mrs Adolf Fredrik (An Elizabeth Judith Andersson);female;22.0;true
third;Gilinski, Mr Leslie;male;22.0;false
third;Hellstrom, Hilda Maria;female;22.0;true
third;Hirvonen, Mrs Alexander;female;22.0;true
third;Johansson, Mr Erik;male;22.0;false
third;Karlsson, Mr Nils August;male;22.0;false
third;Kiern, Mr Philip;male;22.0;false
third;Kilgannon, Mr Thomas;male;22.0;false
third;Kink, Miss Maria;female;22.0;false
third;Landegren, Miss Aurora Adelia;female;22.0;true
third;Larsson-Rondberg, Mr Edvard;male;22.0;false
third;Vartunian, Mr David;male;22.0;true
third;Vonk, Mr Jenko;male;22.0;false
third;Zenni, Mr Philip;male;22.0;false
first;Harder, Mrs George Achilles (Dorothy Ann);female;21.0;true
first;Longley, Miss Gretchen Fiske;female;21.0;true
first;Ryerson, Miss Susan (Suzette) Parker;female;21.0;true
first;White, Mr Richard Frasar;male;21.0;false
first;Williams, Mr Richard Norris II;male;21.0;true
second;Davies, Mr Charles Henry;male;21.0;false
second;Ender, Mr Ingvar;male;21.0;false
second;Giles, Mr Frederick;male;21.0;false
second;Hickman, Mr Stanley George;male;21.0;false
second;Hocking, Miss Ellen (Nellie);female;21.0;true
second;Hood, Mr Ambrose, Jr;male;21.0;false
second;Phillips, Mr Robert;male;21.0;false
second;Rugg, Miss Emily;female;21.0;true
third;Birkeland, Mr Hans;male;21.0;false
third;Buckley, Mr Daniel;male;21.0;true
third;Cavan, Miss Mary;female;21.0;false
third;Cavan, Mr Patrick;male;21.0;false
third;Cann, Mr Ernest;male;21.0;false
third;Chartens, Mr David;male;21.0;false
third;Davies, Mr John;male;21.0;false
third;Ford, Miss Dooli Margaret;female;21.0;false
third;Hansen, Mr Henry Damsgaard;male;21.0;false
third;Jussila, Miss Ai Maria;female;21.0;false
third;Kalvig, Mr Johannes K Halverson;male;21.0;false
third;Karlsson, Mr Eir Gervasius;male;21.0;true
third;Kelly, Miss An Kate;female;21.0;true
third;Kelly, Miss Mary;female;21.0;true
third;Lemom, Mr Denis;male;21.0;false
third;Lemon, Miss Mary;female;21.0;false
third;Salander, Mr Karl Johan;male;21.0;false
third;Windelov, Mr Eir;male;21.0;false
first;Willard, Miss Constance;female;20.0;true
second;Bryhl, Miss Dagmar;female;20.0;true
second;Cotterill, Mr Harry;male;20.0;false
second;Maybery, Mr Frank H;male;20.0;false
second;Nourney, Mr Alfred (aka Baron von Drachstedt);male;20.0;true
second;Pengelly, Mr Frederick;male;20.0;false
second;Sincock, Miss Maude;female;20.0;true
third;Abrahamsson, Mr August;male;20.0;true
third;Alhomaki, Mr Ilmari Rudolf;male;20.0;false
third;Andersen, Mr Thor Olsvigen;male;20.0;false
third;Andreasson, Mr Paul Edvin;male;20.0;false
third;Baccos, Mr Rafoul;male;20.0;false
third;Betros, Mr Tannous;male;20.0;false
third;Braf, Miss Elin Ester Maria;female;20.0;false
third;Buckley, Miss Katherine;female;20.0;false
third;Coelho, Mr Domingos Ferndes;male;20.0;false
third;Gustafsson, Mr Alfred Ossian;male;20.0;false
third;Hampe, Mr Leon;male;20.0;false
third;Jensen, Mr Hans Peder;male;20.0;false
third;Jussila, Miss Katrii;female;20.0;false
third;Keane, Mr Andrew;male;20.0;false
third;Lane, Mr Patrick;male;20.0;false
third;Lindqvist, Eino William;male;20.0;true
first;Astor, Mrs John Jacob (Madeleine Talmadge Force);female;19.0;true
first;Bishop, Mrs Dickinson H (Helen Walton);female;19.0;true
first;Fortune, Mr Charles Alexander;male;19.0;false
first;Graham, Miss Margaret Edith;female;19.0;true
first;Newsom, Miss Helen Monypeny;female;19.0;true
second;Beane, Mrs Edward (Ethel Clarke);female;19.0;true
second;Bentham, Miss Lilian W;female;19.0;true
second;Carbines, Mr William;male;19.0;false
second;Fahlstrom, Mr Arne Jos;male;19.0;false
second;Marshall, Mrs Kate Louise Phillips;female;19.0;true
second;Mellor, Mr William John;male;19.0;true
second;Nicholls, Mr Joseph Charles;male;19.0;false
third;Beavan, Mr William Thomas;male;19.0;false
third;Burke, Mr Jeremiah;male;19.0;false
third;Cohen, Mr Gurshon (Gus);male;19.0;true
third;Cor, Mr Ludovik;male;19.0;false
third;Crease, Mr Ernest James;male;19.0;false
third;Dakic, Mr Branko;male;19.0;false
third;Devaney, Miss Margaret;female;19.0;true
third;Dorkings, Mr Edward Arthur;male;19.0;true
third;Gustafsson, Mr Karl Gideon;male;19.0;false
third;Jensen, Miss Carla Christine;female;19.0;true
third;Johnson, Mr William Cahoone Jr;male;19.0;false
first;Pesco, Mr Victor de Satode;male;18.0;false
first;Ryerson, Miss Emily Borie;female;18.0;true
first;Smith, Mrs Lucien Philip (Mary Eloise Hughes;female;18.0;true
first;Taussig, Miss Ruth;female;18.0;true
second;Andrew, Mr Edgar Samuel;male;18.0;false
second;Bailey, Mr Percy Andrew;male;18.0;false
second;Deacon, Mr Percy;male;18.0;false
second;Dibden, Mr William;male;18.0;false
second;Doling, Miss Elsie;female;18.0;true
second;Hiltunen, Miss Marta;female;18.0;false
second;sser (srallah), Mrs Nicholas;female;18.0;true
second;Silven, Miss Lyyli;female;18.0;true
second;Swane, Mr George;male;18.0;false
third;Abraham, Mrs Joseph (Sophie Easu);female;18.0;true
third;Aks, Mrs Sam (Leah Rosen);female;18.0;true
third;Arnold, Mrs Josef (Josephine Frank);female;18.0;false
third;Badman, Miss Emily Louisa;female;18.0;true
third;Barbara, Miss Saude;female;18.0;false
third;Bjorklund, Ernst Herbert;male;18.0;false
third;Bradley, Miss Bridget Delia;female;18.0;true
third;Burns, Miss Mary Delia;female;18.0;false
third;Cacic, Mr Grego;male;18.0;false
third;Chronopoulos, Mr Demetrios;male;18.0;false
third;Edvardsson, Mr Gustaf Hjalmar;male;18.0;false
third;Ford, Mr Edward Watson;male;18.0;false
third;Hegarty, Miss Nora;female;18.0;false
third;Klasen, Mr Klas Albin;male;18.0;false
third;Turja, Miss An Sofia;female;18.0;true
third;Van der Planke, Miss Augusta;female;18.0;false
third;Wiklund, Mr Jacob Alfred;male;18.0;false
first;Dick, Mrs Albert Adrian Vera Gillespie;female;17.0;true
first;Pesco, Mrs Victor de Satode (Josefa de Soto);female;17.0;true
first;Thayer, Mr John Borland, jr;male;17.0;true
second;Ilett, Miss Bertha;female;17.0;true
third;Allum, Mr Owen George;male;17.0;false
third;Andersson, Miss Er;female;17.0;true
third;Attalah, Miss Malaka;female;17.0;false
third;Calic, Mr Peter;male;17.0;false
third;Cribb, Miss Laura Alice;female;17.0;true
third;Davies, Mr Joseph;male;17.0;false
third;Hagardon, Miss Kate;female;17.0;false
third;Jensen, Mr Svend Lauritz;male;17.0;false
third;Kallio, Mr Nikolai Erland;male;17.0;false
first;Hippach, Miss Jean Gertrude;female;16.0;true
first;Lines, Miss Mary Conover;female;16.0;true
second;Gaskell, Mr Alfred;male;16.0;false
third;Abbott, Mr Rossmore Edward;male;16.0;false
third;Abelseth, Miss An Karen;female;16.0;true
third;Carr, Miss Helen;female;16.0;true
third;Eklund, Mr Hans Linus;male;16.0;false
third;Ford, Mr Neil Watson;male;16.0;false
third;Gilgh, Miss Katie;female;16.0;true
third;Goodwin, Miss Lillian A;female;16.0;false
first;Madill, Miss Georgette Alexandra;female;15.0;true
second;Brown, Miss Edith E;female;15.0;true
third;Banoura, Miss Ayout;female;15.0;true
third;Van der Planke, Mr Leon;male;15.0;false
third;Yasbeck, Mrs Antoni;female;15.0;true
first;Carter, Miss Lucile Polk;female;14.0;true
second;Sweet, Mr George;male;14.0;false
third;Goodwin, Mr Charles E;male;14.0;false
third;Vestrom, Miss Hulda Amanda Adolfi;female;14.0;false
first;Ryerson, Master John Borie;male;13.0;true
second;Mellenger, Miss Madeleine Violet;female;13.0;true
third;Abbott, Master Eugene Joseph;male;13.0;false
third;Asplund, Master Filip Oscar;male;13.0;false
second;Becker, Miss Ruth Elizabeth;female;12.0;true
second;Watt, Miss Bertha;female;12.0;true
first;Carter, Master William T II;male;11.0;true
third;Andersson, Miss Sigrid Elizabeth;female;11.0;false
third;Goodwin, Master William F;male;11.0;false
third;Goodwin, Miss Jessie A;female;10.0;false
third;Van Impe, Miss Catharine;female;10.0;false
third;Andersson, Miss Ingeborg Constancia;female;9.0;false
third;Asplund, Master Clarence Gustaf Hugo;male;9.0;false
third;Boulos, Miss Laura;female;9.0;false
third;Coutts, Master William Leslie;male;9.0;true
third;Ford, Miss Maggie;female;9.0;false
third;Goldsmith, Master Frank John William;male;9.0;true
third;Goodwin, Master Harold V;male;9.0;false
second;Collyer, Miss Marjorie;female;8.0;true
second;Davis, Master John Morgan;male;8.0;true
second;Drew, Master Marshall Brines;male;8.0;true
second;Quick, Miss Winifred Vera;female;8.0;true
second;Hart, Miss Eva Miriam;female;7.0;true
first;Spedden, Master Robert Douglas;male;6.0;true
second;Harper, Miss Ni;female;6.0;true
third;Andersson, Miss Ebba Iris;female;6.0;false
third;Boulos, Master Akar;male;6.0;false
third;Goodwin, Master Sidney L;male;6.0;false
third;Asplund, Master Carl Edgar;male;5.0;false
third;Asplund, Miss Lillian Gertrud;female;5.0;true
third;Emanuel, Miss Virginia Ethel;female;5.0;true
first;Dodge, Master Washington;male;4.0;true
second;Becker, Miss Marion Louise;female;4.0;true
second;Wells, Miss Joan;female;4.0;true
third;Andersson, Master Sigvard Harald Elias;male;4.0;false
third;Johnson, Master Harold Theodor;male;4.0;true
third;Karun, Miss An Mary;female;4.0;true
third;Kink, Miss Louise Gretchen;female;4.0;true
second;LaRoche, Miss Simonne;female;3.0;true
second;vratil, Master Michel M;male;3.0;true
second;Richards, Master William Rowe;male;3.0;true
third;Aspland, Master Edvin Rojj Felix;male;3.0;true
third;Baclini, Miss Eugenie;female;3.0;true
third;Coutts, Master Neville;male;3.0;true
first;Allison, Miss Helen Loraine;female;2.0;false
second;Mallet, Master Andre;male;2.0;true
second;vratil, Master Edmond Roger;male;2.0;true
second;Quick, Miss Phyllis May;female;2.0;true
second;Wells, Master Ralph Lester;male;2.0;true
third;Andersson, Miss Ellis An Maria;female;2.0;false
third;Hirvonen, Miss Hildur E;female;2.0;false
third;Klasen, Miss Gertrud Emilia;female;1.5;false
third;Sandstrom, Miss Beatrice Irene;female;1.5;false
second;Becker, Master Richard F;male;1.0;true
second;Hamalainen, Master Viljo;male;1.0;true
second;LaRoche, Miss Louise;female;1.0;true
third;Dean, Master Bertram Vere;male;1.0;true
third;Johnson, Miss Eleanor Ileen;female;1.0;true
first;Allison, Master Hudson Trevor;male;0.92;true
second;Caldwell, Master Alden Gates;male;0.83;true
third;Aks, Master Philip;male;0.83;true
second;Richards, Master George Sidney;male;0.8;true
third;Danbom, Master Gilbert Sigvard Emanuel;male;0.33;false
third;Dean, Miss Elizabeth Gladys (Millve);female;0.17;true
first;Aubert, Mrs Leontine Pauline;female;-1.0;true
first;Barkworth, Mr Algernon H;male;-1.0;true
first;Baumann, Mr John D;male;-1.0;false
first;Borebank, Mr John James;male;-1.0;false
first;Bradley, Mr George;male;-1.0;true
first;Brewe, Dr Arthur Jackson;male;-1.0;false
first;Calderhead, Mr Edward P;male;-1.0;true
first;Carrau, Mr Francisco M;male;-1.0;false
first;Carrau, Mr Jose Pedro;male;-1.0;false
first;Cassebeer, Mrs Henry Arthur jr (Genevieve Fosdick);female;-1.0;true
first;Cavendish, Mrs Tyrell William Julia Florence Siegel;female;-1.0;true
first;Cherry, Miss Gladys;female;-1.0;true
first;Chevre, Mr Paul;male;-1.0;true
first;Chibll (Bowerman), Mrs Edith Martha;female;-1.0;true
first;Chisholm, Mr Roderick Robert;male;-1.0;false
first;Clifford, Mr George Quincy;male;-1.0;false
first;Colley, Mr Edward Pomeroy;male;-1.0;false
first;Crafton, Mr John Bertram;male;-1.0;false
first;Daly, Mr Peter Denis;male;-1.0;true
first;de Villiers, Madame Berthe;female;-1.0;true
first;Dodge, Dr Washington;male;-1.0;true
first;Dodge, Mrs Washington (Ruth Vidaver);female;-1.0;true
first;Flegenheim, Mrs Alfred (Antoinette);female;-1.0;true
first;Flynn, Mr John Irving;male;-1.0;true
first;Franklin, Mr Thomas Parham;male;-1.0;false
first;Frauenthal, Mrs Henry William (Clara Heinsheimer);female;-1.0;true
first;Goldenberg, Mrs Samuel L (Edwiga Grabowsko);female;-1.0;true
first;Hawksford, Mr Walter James;male;-1.0;true
first;Head, Mr Christopher;male;-1.0;false
first;Hilliard, Mr Herbert Henry;male;-1.0;false
first;Hipkins, Mr William Edward;male;-1.0;false
first;Hoyt, Mr William F;male;-1.0;false
first;Julian, Mr Henry Forbes;male;-1.0;false
first;Kenyon, Mrs Frederick R (Marion);female;-1.0;true
first;Klaber, Mr Herman;male;-1.0;false
first;Leader, Dr Alice Farnham;female;-1.0;true
first;Lewy, Mr Ervin G;male;-1.0;false
first;Lingrey, Mr Edward;male;-1.0;false
first;Marechal, Mr Pierre;male;-1.0;true
first;Marvin, Mr Daniel Warner;male;-1.0;false
first;Marvin, Mrs Daniel Warner (Mary Graham Carmichael Farquarson);female;-1.0;true
first;Meyer, Mrs Edgar Joseph (Leila Saks);female;-1.0;true
first;Mock, Mr Philip E;male;-1.0;true
first;Omont, Mr A Fernd;male;-1.0;true
first;Parr, Mr William Henry Marsh;male;-1.0;false
first;Partner, Mr Austin;male;-1.0;false
first;Pears, Mr Thomas;male;-1.0;false
first;Pears, Mrs Thomas (Edith);female;-1.0;true
first;Reuchlin, Jonkheer John George;male;-1.0;false
first;Rheims, Mr George Lucien;male;-1.0;true
first;Romaine, Mr Charles Hallace;male;-1.0;true
first;Rood, Mr Hugh R;male;-1.0;false
first;Ross, Mr John Hugo;male;-1.0;false
first;Rowe, Mr Alfred G;male;-1.0;false
first;Saalfeld, Mr Adolphe;male;-1.0;true
first;Salomon, Mr Abraham L;male;-1.0;true
first;Schabert, Mrs Paul (Emma Mock);female;-1.0;true
first;Smith, Mr Richard William;male;-1.0;false
first;Spencer, Mrs William Augustus (Marie Eugenie);female;-1.0;true
first;Stewart, Mr Albert A;male;-1.0;false
first;Taylor, Mrs Elmer Zebley (Juliet Cummins Wright);female;-1.0;true
first;Thorne, Mrs Gertrude Maybelle;female;-1.0;true
first;Uruchurtu, Mr Manuel E;male;-1.0;false
first;Williams, Mr Fletcher Lambert;male;-1.0;false
first;Woolner, Mr Hugh;male;-1.0;true
first;Wright, Mr George;male;-1.0;false
first;Barber, Ms;female;-1.0;true
first;Bazzani, Ms Albi;female;-1.0;true
first;Bidois, Miss Rosalie;female;-1.0;true
first;Bird, Ms Ellen;female;-1.0;true
first;Bissetti, Ms Amelia;female;-1.0;true
first;Burns, Ms Elizabeth Margaret;female;-1.0;true
first;Chaudanson, Ms         Victorine;female;-1.0;true
first;Cleaver, Ms Alice;female;-1.0;true
first;Daniels, Ms Sarah;female;-1.0;true
first;Endres, Miss Caroline Louise;female;-1.0;true
first;Farthing, Mr John;male;-1.0;false
first;Fleming, Ms Margaret;female;-1.0;false
first;Francatelli, Ms Laura Mabel;female;-1.0;true
first;Fry, Mr Richard;male;-1.0;false
first;Geiger, Miss Emily;female;-1.0;true
first;Giglio, Mr Victor;male;-1.0;false
first;Harrington, Mr Charles;male;-1.0;false
first;Hassah, Mr Hamad;male;-1.0;false
first;Icabad (Icabod), Ms;female;-1.0;true
first;Kenchen, Ms Amelia;female;-1.0;true
first;LeRoy, Miss Berthe;female;-1.0;true
first;Lesneur, Mr Gustave;male;-1.0;false
first;Maloney, Ms;female;-1.0;true
first;Oliva, Mlle;female;-1.0;false
first;Pericault, Ms;female;-1.0;true
first;Robbins, Mr Victor;male;-1.0;false
first;Segesser, Mlle Emma;female;-1.0;true
first;Seredeca, Ms;female;-1.0;false
first;Ward, Ms An;female;-1.0;false
first;Wilson, Ms Helen;female;-1.0;true
second;Andrew, Mr Frank;male;-1.0;false
second;Bowenur, Mr Solomon;male;-1.0;false
second;Byles, Rev Thomas Roussel D;male;-1.0;false
second;Campbell, Mr William;male;-1.0;false
second;Christy, Mrs Alice Frances;female;-1.0;true
second;Christy, Miss Julie;female;-1.0;true
second;Clarke, Mrs Charles V (Ada Maria);female;-1.0;true
second;Corey, Mrs Percy C (Mary Phyllis Elizabeth Miller);female;-1.0;false
second;Cunningham, Mr Alfred Fleming;male;-1.0;false
second;de Brito, Mr Jose Joaquim;male;-1.0;false
second;Downton (?Douton), Mr William James;male;-1.0;false
second;Duran y More, Miss Asuncion;female;-1.0;true
second;Duran y More, Miss Florenti;female;-1.0;true
second;Faunthorpe, Mr Harry;male;-1.0;false
second;Faunthorpe, Mrs Lizzie (see Wilkinson, E);female;-1.0;true
second;Fillbrook, Mr Charles;male;-1.0;false
second;Frost, Mr Anthony (Archie) W;male;-1.0;false
second;Gill, Mr John W;male;-1.0;false
second;Harris, Mr Walter;male;-1.0;false
second;Hewlett, Mrs Mary D;female;-1.0;true
second;Hocking, Mr Samuel James;male;-1.0;false
second;Howard, Mr Benjamin;male;-1.0;false
second;Howard, Mrs Benjamin (Ellen Truelove);female;-1.0;false
null;Jacobsohn Mr Samuel;male;-1.0;false
second;Jacobsohn, Mrs Sidney Samuel (Amy Frances Christy);female;-1.0;true
second;Jarvis, Mr John Denzil;male;-1.0;false
second;Jefferys, Mr Clifford;male;-1.0;false
second;Jefferys, Mr Ernest;male;-1.0;false
second;Jenkin, Mr Stephen Curnow;male;-1.0;false
second;Kantor, Mrs Sii (Miriam Sternim);female;-1.0;true
second;Keane, Mr Daniel;male;-1.0;false
second;Keane, Miss Nora A;female;-1.0;true
second;Kirkland, Rev Charles Leord;male;-1.0;false
second;Knight, Mr Robert;male;-1.0;false
second;Lamb, Mr John James;male;-1.0;false
second;Lehmann, Miss Bertha;female;-1.0;true
second;Leitch, Miss Jessie;female;-1.0;true
second;Levy, Mr Rene Jacques;male;-1.0;false
second;Lingan, Mr John;male;-1.0;false
second;Louch, Mrs Charles Alexander (Alice Adelaide);female;-1.0;true
second;Malachard, Mr Noel;male;-1.0;false
second;Mallet, Mr Albert;male;-1.0;false
second;Mallet, Mrs Albert (Antoinette);female;-1.0;true
second;Mangiavacchi, Mr Serafino Emilio;male;-1.0;false
second;McCrie, Mr James Matthew;male;-1.0;false
second;Morley, Mr William;male;-1.0;false
second;Mudd, Mr Thomas C;male;-1.0;false
second;Norman, Mr Robert Douglas;male;-1.0;false
second;Padro y Manent, Mr Julian;male;-1.0;true
second;Pallas y Castello, Mr Emilio;male;-1.0;true
second;Parkes, Mr Francis (Frank);male;-1.0;false
second;Portaluppi, Mr Emilio;male;-1.0;true
second;Pulbaum, Mr Frank;male;-1.0;false
second;Rogers, Mr Harry;male;-1.0;false
second;Sedgwick, Mr Charles Frederick Waddington;male;-1.0;false
second;Sharp, Mr Percival;male;-1.0;false
second;Smith, Miss Marion;female;-1.0;true
second;Trout, Mrs William H (Jessie L);female;-1.0;true
second;Watson, Mr Ennis Hastings;male;-1.0;false
second;West, Miss Barbara J;female;-1.0;true
second;West, Miss Constance Mirium;female;-1.0;true
second;Wheadon, Mr Edward;male;-1.0;false
second;Wheeler, Mr Edwin;male;-1.0;false
second;Wheeler, Mr Frederick;male;-1.0;false
second;Wilkinson, Mrs Elizabeth Anne;female;-1.0;true
second;Williams, Mr Charles Eugene;male;-1.0;true
second;Yrois, Miss Henriette;female;-1.0;false
second;Pernot, Mr Rene;male;-1.0;false
third;Assaf, Mr Gerios;male;-1.0;false
third;Baclini, Miss Helene;female;-1.0;true
third;Baclini, Miss Maria;female;-1.0;true
third;Baclini, Mrs Solomon (Latifa);female;-1.0;true
third;Boulos, Mr Han;male;-1.0;false
third;Boulos, Mrs Joseph (Sulta);female;-1.0;false
third;Bourke, Miss Mary;female;-1.0;false
third;Brahim, Mr Youssef;male;-1.0;false
third;Cacic, Mr Manda;male;-1.0;false
third;Caram (Kareem), Mr Joseph;male;-1.0;false
third;Caram (Kareem), Mrs Joseph (Maria Elias);female;-1.0;false
third;Cassem, Mr ssef Belmenly;male;-1.0;true
third;Chebab, Mr Emir Farres;male;-1.0;false
third;Connors, Mr Patrick;male;-1.0;false
third;Daher, Mr Tannous;male;-1.0;false
third;Davison, Mr Thomas Henry;male;-1.0;false
third;Davison, Mrs Thomas Henry (Mary Finck);female;-1.0;true
third;Denkoff, Mr Mito;male;-1.0;false
third;Dibo, Mr Elias;male;-1.0;false
third;Drazonovic, Mr Josef;male;-1.0;false
third;Econovic, Mr Joso;male;-1.0;false
third;Elias, Mr Elias;male;-1.0;false
third;Elias, Mr John;male;-1.0;false
third;Elias, Mr Joseph;male;-1.0;false
third;Emmeth, Mr Thomas;male;-1.0;false
third;Everett, Thomas James;male;-1.0;false
third;Farrell, Mr James;male;-1.0;false
third;Finoli, Mr Luigi;male;-1.0;true
third;Fischer, Mr Eberhard Telander;male;-1.0;false
third;Flynn, Mr James;male;-1.0;false
third;Flynn, Mr John;male;-1.0;false
third;Foley, Mr Joseph;male;-1.0;false
third;Foley, Mr William;male;-1.0;false
third;Foo, Mr Choong;male;-1.0;true
third;Ford, Mr Arthur;male;-1.0;false
third;Fox, Mr Patrick;male;-1.0;false
third;Franklin, Mr Charles;male;-1.0;false
third;Garfirth, Mr John;male;-1.0;false
third;Glynn, Miss Mary Agatha;female;-1.0;true
third;Goldsmith, Mrs Frank John (Emily A Brown);female;-1.0;true
third;Guest, Mr Robert;male;-1.0;false
third;Hagland, Mr Ingvald Olsen;male;-1.0;false
third;Hagland, Mr Konrad Mathias Reiersen;male;-1.0;false
third;Harknett, Miss Alice;female;-1.0;false
third;Harmer, Mr Abraham;male;-1.0;false
third;Hart, Mr Henry;male;-1.0;false
third;Hassan, Mr M Houssein;male;-1.0;false
third;Healy, Miss Nora;female;-1.0;false
third;Hee, Mr Ling;male;-1.0;false
third;Hemming, Miss Nora;female;-1.0;false
third;Hendekovic, Mr Igz;male;-1.0;false
third;Henery, Delia;female;-1.0;false
third;Holthen, Mr Johan Martin;male;-1.0;false
third;Horgan, Mr John;male;-1.0;false
third;Howard, Miss May;female;-1.0;true
third;Hyman, Mr Abraham;male;-1.0;true
third;Ilieff, Mr Ylio;male;-1.0;false
third;Ivanoff, Mr Konio;male;-1.0;false
third;Jardin, Mr Jose Netto;male;-1.0;false
third;Jermyn, Miss Annie;female;-1.0;true
third;Johannesen-Bratthammer, Mr Bernt;male;-1.0;false
third;Johnston, Mr Andrew G;male;-1.0;false
third;Johnston, Mrs Andrew G;female;-1.0;false
third;Johnston, Miss Catherine H;female;-1.0;false
third;Johnston, Master William A;male;-1.0;false
third;Jonkoff, Mr Lazor;male;-1.0;false
third;Kassem, Mr Fared;male;-1.0;false
third;Keefe, Mr Arthur;male;-1.0;false
third;Kekic, Mr Tido;male;-1.0;false
third;Khalil, Mr Betros;male;-1.0;false
third;Khalil, Mrs Betros;female;-1.0;false
third;Khalil, Mr Saad;male;-1.0;false
third;Kraeff, Mr Theodor;male;-1.0;false
third;Lahowd, Mr Sarkis;male;-1.0;false
third;Laleff, Mr Kristo;male;-1.0;false
third;Lam, Mr Ali;male;-1.0;true
third;Lam, Mr Len;male;-1.0;false
third;Leeni, Mr Fahim;male;-1.0;true
third;Lefebre, Mrs Frank;female;-1.0;false
third;Lefebre, Master Henry;male;-1.0;false
third;Lefebre, Miss Ida;female;-1.0;false
third;Lefebre, Miss Jeannie;female;-1.0;false
third;Lefebre, Miss Mathilde;female;-1.0;false
third;Lemberopolous, Mr Peter L;male;-1.0;false
third;Linehan, Mr Michael;male;-1.0;false
third;Ling, Mr Lee;male;-1.0;false
third;Lithman, Mr Simon;male;-1.0;false
third;Lobb, Mr William Arthur;male;-1.0;false
third;Lobb, Mrs William Arthur;female;-1.0;false
third;Lockyer, Mr Edward;male;-1.0;false
third;Lovell, Mr John;male;-1.0;false
third;Lulich, Mr Nicola;male;-1.0;true
third;Lundahl, Mr Johan;male;-1.0;false
third;Lundin, Miss Olga Elida;female;-1.0;true
third;Lundstrom, Mr Thure Edvin;male;-1.0;false
third;Lyntakoff, Mr Stanko;male;-1.0;false
third;MacKay, Mr George William;male;-1.0;false
third;Madigan, Miss Margaret;female;-1.0;true
third;Madsen, Mr Frithiof;male;-1.0;false
third;Maenpaa, Mr Matti Alexanteri;male;-1.0;false
third;Mahon, Miss Delia;female;-1.0;false
third;Maisner, Mr Simon;male;-1.0;false
third;Makinen, Mr Kalle Edvard;male;-1.0;false
third;Mamee, Mr Han;male;-1.0;true
third;Mangan, Miss Mary;female;-1.0;false
third;Mannion, Miss Margareth;female;-1.0;true
third;Mansour, Mr Han;male;-1.0;false
third;Mardirosian, Mr Sarkis;male;-1.0;false
third;Marinko, Mr Dmitri;male;-1.0;false
third;Markim, Mr Johann;male;-1.0;false
third;Markoff, Mr Marin;male;-1.0;false
third;Masselmany, Mrs Fatima;female;-1.0;true
third;Matinoff, Mr Nicola;male;-1.0;false
third;McCarthy, Miss Katie;female;-1.0;true
third;McCormack, Mr Thomas J;male;-1.0;false
third;McCoy, Miss Agnes;female;-1.0;false
third;McCoy, Miss Alice;female;-1.0;false
third;McCoy, Mr Berrd;male;-1.0;false
third;McDermott, Miss Delia;female;-1.0;false
third;McElroy, Mr Michael;male;-1.0;false
third;McGovern, Mrs Hugh;female;-1.0;true
third;McGowan, Miss An;female;-1.0;false
third;McGowan, Miss Katherine;female;-1.0;false
third;McMahon, Mr Martin;male;-1.0;false
third;Mcmee, Mr Neal;male;-1.0;false
third;Mcmee, Mrs Neal;female;-1.0;false
third;Meanwell, Miss Marion Ogden;female;-1.0;false
third;Mechen, Mr John;male;-1.0;false
third;Meek, Mrs Thomas;female;-1.0;false
third;Meo, Mr Alfonso;male;-1.0;false
third;Midtsjo, Mr Karl Albert;male;-1.0;true
third;Mihoff, Mr Stoytcho;male;-1.0;false
third;Miles, Mr Frank;male;-1.0;false
third;Mineff, Mr Ivan;male;-1.0;false
third;Minkoff, Mr Lazar;male;-1.0;false
third;Mirko, Mr Dika;male;-1.0;false
third;Mitkoff, Mr Mito;male;-1.0;false
third;Mocklare, Miss Helen Mary;female;-1.0;true
third;Moen, Mr Sigurd H;male;-1.0;false
third;Moor, Mrs Beila;female;-1.0;true
third;Moor, Master Meier;male;-1.0;false
third;Moore, Mr Leord Charles;male;-1.0;false
third;Moran, Miss Bertha;female;-1.0;true
third;Moran, Mr Daniel J;male;-1.0;false
third;Moran, Mr James;male;-1.0;false
third;Morley, Mr Henry Samuel;male;-1.0;false
third;Morrow, Mr Thomas Rowan;male;-1.0;false
third;Moubarek (Borak), Mr Han (John);male;-1.0;true
third;Moubarek, Mrs George;female;-1.0;false
third;Moubarek, Master George;male;-1.0;false
third;Moubarek, Master William George;male;-1.0;false
third;Moss, Albert Johan;male;-1.0;false
third;Moussa, Mrs Mantoura Baloics;female;-1.0;false
third;Moutal, Mr Rahamin;male;-1.0;false
third;Mullins, Miss Katie;female;-1.0;true
third;Mulvihill, Miss Bertha E;female;-1.0;false
third;Murdlin, Mr Joseph;male;-1.0;false
third;Murphy, Miss Katherine;female;-1.0;false
third;Murphy, Miss Margaret;female;-1.0;false
third;Murphy, Miss Nora;female;-1.0;false
third;Myhrman, Mr Pehr Fabian Oliver Malkolm;male;-1.0;false
third;ckid, Miss Maria;female;-1.0;true
